task_name,test_output_grid,hashed_output_grid,task_type,count
a64e4611.json,|044040440003304444400040444000|444004400003300440400000044044|000400004403300404400044004004|400044404003304000400000004004|404440400403300004000004044040|004040004403304004000004000000|404400400403304044000040044044|040444040003300004000000000400|004000444003304400400000004040|000000000003300000000000000000|333333333333333333333333333333|333333333333333333333333333333|333333333333333333333333333333|333333333333333333333333333333|333333333333333333333333333333|000000000003300000000000000000|040000040403300400400040440044|440440040003300404004004440400|004044404003300004000044444444|044040000003304440404000400040|000040000403304000000000400400|404000400003300044000000404404|404400440003300044400404040044|044440400003304044040004004444|440000440403304404004040404440|404000400403304044000040440404|040400000403304040444004400040|004040440003300040400000040044|400000444003300000004040444044|000444444003300400400004044000|,90a216a03fcd6898449855d46061a1d7,training,7
e8dc4411.json,|3333333333333333|3333333333333333|6333333333333333|3636333333333333|3363333333333333|3636333333333333|3333030333333333|3333303333333333|3333030333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|,a7036f9d06f2c061ee85f4859cc13cc0,training,7
1caeab9d.json,|0000000000|0000000000|0110440220|0110440220|1004002000|0000000000|0000000000|0000000000|0000000000|0000000000|,cf4b63787b74b3fab9366877d8c209ef,training,7
b91ae062.json,|001100|001100|008877|008877|999900|999900|,783820abc7ba3d20747a3d34fe6665c6,training,7
d406998b.json,|00030003030050500|50500300500300030|03005050005003005|,2d689c59740fe0cba73c8162a1bc9d2e,training,7
1f876c06.json,|0000003009|7000030090|0700300900|0073009000|6007090000|0600700004|0060070040|0006007400|0000604000|0000040000|,cb4971d24752b5393dd7a9b625939362,training,7
82819916.json,|0000000000|2212121121|0000000000|8838838838|0000000000|0000000000|1141141141|0000000000|0000000000|6686686686|0000000000|1161161161|0000000000|0000000000|,a291cc946a3a0a7c52122324e4865665,training,7
9aec4887.json,|0111110|2810184|2208804|2088844|2008004|2830384|0333330|,b7454d7243f66a4163d05ffd12445d73,training,7
662c240a.json,|332|332|223|,ccac57ea60b5444c66067ebe9758ba43,training,7
b4a43f3b.json,|010000010000000000|303000303000000000|020000020000000000|000000010000000000|000000303000000000|000000020000000000|010010010010010010|303303303303303303|020020020020020020|000000010000000000|000000303000000000|000000020000000000|000000010000000000|000000303000000000|000000020000000000|000000010000000000|000000303000000000|000000020000000000|,9fd340c2bb29581c2cb592159bc120b0,evaluation,7
b91ae062.json,|000111000|000111000|000111000|000888777|000888777|000888777|999999000|999999000|999999000|,3ee444c5d07df9d22e2e7da10700f61a,training,6
6c434453.json,|0000000010|0000000111|0111000010|0101000000|0111000000|0000000000|0000001100|0111000000|0101000011|0111000011|,a1ca8b44c53d3a2ca187681c32ad745c,training,6
cce03e0d.json,|122000122|201000201|120000120|000122000|000201000|000120000|122000000|201000000|120000000|,54a902f00572e14ea283e4fb05e5cd9f,training,6
dd2401ed.json,|000100010520020|100000100500000|000000001500002|000010000502000|010000001500200|100100000500000|000000100520002|,0da7cf2cbc5fb20a328d80ff4bb8b66d,evaluation,6
ce9e57f2.json,|000000000|020000000|020200000|020200000|020200000|020200000|020200020|020200020|020200020|020202020|020202020|,c23477a34d672bbcd79603f28d7e1e0c,training,6
7fe24cdd.json,|250|251|311|,0f50f26b7fe6906814d39dcd57e4396c,training,6
a59b95c0.json,|432432|214214|312312|432432|214214|312312|,0782fc53d6e4b70e1ec01e5403def8c7,evaluation,6
80af3007.json,|0000000000000000000|0000000000000000000|0000000000000000000|0000000555555555000|0000000555555555000|0000000555555555000|0000000000555000000|0000000000555000000|0000000000555000000|0000000555000555000|0000000555000555000|0000000555000555000|0000000000000000000|0000000000000000000|0000000000000000000|0000000000000000000|0000000000000000000|,a9ea76481741b5cf144976ed783ea802,training,6
045e512c.json,|000000000040400000000|000000000040400000000|000000000000000000000|000000000044400000000|000000000040400000000|000000000040400000000|000000000000000000000|000000888022202220222|000000808020202020202|000000808020202020202|000000000000000000000|000000333000000000000|000000303000000000000|000000303000000000000|000000000000000000000|000000333000000000000|000000303000000000000|000000303000000000000|000000000000000000000|000000333000000000000|000000303000000000000|,bf07d091a15dc0a8328bac708c6175d9,training,6
27a28665.json,|2|,fc129fb4688da6081143b5e9d2e42010,training,6
11e1fe23.json,|00000000000000|00000000000000|00030000000800|00000000000000|00000300080000|00000000000000|00000005000000|00000000000000|00000900000000|00000000000000|00090000000000|00000000000000|,645548c06614d0d74d9652543d4aac29,evaluation,6
08573cc6.json,|0000000000000|2222222222800|0000000000800|0022222280800|0080000080800|0080221080800|0080800080800|0080800080800|0080822220800|0080000000800|0082222222200|0000000000000|0000000000000|,32e6deb55d1bfd7576097cef653dc73f,evaluation,6
a61f2674.json,|000000000|000000050|000500050|000500050|000505050|000505050|000505050|000505050|050505050|,c0ac656e3699d33e2a59774417c58e0f,training,6
de1cd16c.json,|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|2222222222222222222|,02181b2fb3e396cc644c387a58fe26a7,training,6
58e15b12.json,|00080000006000000300|00080000006000000300|00080000006000000300|00080000008300003000|00080000008300003000|00008000080300003000|00008000083000000300|00008000083000000300|00008000083000000300|00008000060000000030|00000800830000000030|00000800830000000030|00000800600000000003|00000800600000000003|00000800600000000003|00008003080000000000|00008003080000000000|00008003080000000000|00008030080000000000|00008030080000000000|00080030008000000000|00080300008000000000|00080300008000000000|00080300008000000000|,7aaa4776a0a5778727ca12c77fb2f9a6,evaluation,6
f9012d9b.json,|8188000|1881000|8818000|8188188|1881881|8818818|8188188|,3b3db040e27e52cd1462162794e32626,training,5
a59b95c0.json,|432432432|214214214|312312312|432432432|214214214|312312312|432432432|214214214|312312312|,cb5f25f6ded34effc80b395039f06e7d,evaluation,5
7f4411dc.json,|0000000008|0800000800|0888000000|0888000800|8000000000|0000888888|0000888880|8000888880|0080000000|0000800008|,7b4da508920fa3d7ccb7264de29c2fe0,training,5
bf699163.json,|222|202|222|,57abeb339cecbc53f8bd2c52b8d80a89,evaluation,5
18419cfa.json,|00000000000000000000000000|00000000000000000000888000|00000000000000000888808888|00088888888800000800000008|00080000000800000802000208|00880022000880000800222008|00800222200080000800020008|00880022000880000800020008|00080000000800000800222008|00088888888800000802000208|00000000000000000800000008|00000000000000000888808888|00000000000000000000888000|00000000000000000000000000|00000000008880000000000000|00000088888088888000000000|00000080000000008000000000|00000080020002008000000000|00000080002220008000000000|00000080020002008000000000|00000080020002008000000000|00000080002220008000000000|00000080020002008000000000|00000080000000008000000000|00000088888088888000000000|00000000008880000000000000|00000000000000000000000000|00000000000000000000000000|,225e0bcd5fdc5f4568e3a69c87c2aed4,evaluation,5
d4b1c2b1.json,|771177|771177|333366|333366|888866|888866|,c5a7f917e523fec141dae5ffbb8c9e91,evaluation,5
5ad4f10b.json,|808|088|008|,6732ec384d338e7f8d023819bc73daef,training,5
2b01abd0.json,|0000000010000000|0000000010000000|0000000010000000|0002002010800800|0008888010222200|0002002010800800|0088800010002220|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|,b59e9d53bffd7d5d0ed1ca8fed6df8f9,evaluation,5
007bbfb7.json,|707|707|770|,c91d2228ab9d2368ebdbf885b2d2aa44,training,5
6e82a1ae.json,|0000000003|0000000003|0011022003|0110002003|0000000000|0000000000|2000000000|2003300300|2000000300|0000000000|,3ca1e3c854299ed377598e4b0b0fc822,training,5
8e2edd66.json,|000000001|000000101|000000010|001000000|101000000|010000000|001000001|101000101|010000010|,b0a12534b7754c3cd377d72006d195dd,evaluation,5
b2862040.json,|110000000000000|000000000001000|000888880001000|000080080001000|000080080001000|000088880001001|000000080001111|111100080001001|100100000000001|100100000000011|110000000000000|000000000000000|000888888000110|000800008000010|000800008000010|000888888800010|,2265bf4669dae264fc968c3c04da2ba3,training,5
f9012d9b.json,|88|81|,c0a3bbdce617c24da589fa1025190a9c,training,5
2bcee788.json,|0000000000|0000000000|0000000000|0000100100|0000111100|0000011000|0000000000|0000000000|0000000000|0000000000|,c2834c681a36748132b14a613c1f66f5,training,5
99b1bc43.json,|0300|3000|3303|0300|,4be2ec77737011efd29ad8a86bdb814d,training,5
7468f01a.json,|11118111|11111881|11111111|88811111|11111111|11888111|11111111|,f3d7bdc41a8cab1aac83c55bb6dc5c9a,training,5
72ca375d.json,|44444|40044|,1c3defcf0384baecd7ad1e27e3b5dbeb,training,5
746b3537.json,|112333884|,51eff64926a305a9a84a90f49e2b619d,training,5
f3b10344.json,|00000000000000000000000000000|00000777777700007777770000000|07770777777788887777770000000|07778777777788887777770000000|07770777777788887777770000000|00000777777700007777770000000|00000008880000000000000000000|00000008880000000000000000000|00000008880000000000000000000|00000008880000000000000000000|00000077777000003333330033330|00000077777000003333338833330|00000077777000003333338833330|00000077777000003333338833330|00000077777000003333330033330|00000008880000000888800008000|00000008880000000888800008000|00000008880000000888800008000|00000008880000000888800008000|00007777777770003333330008000|00007777777770003333330033300|00007777777770003333338833300|00007777777770003333330033300|00007777777770003333330000000|00000000000000000000000000000|00000000000000000000000000000|00000000022200222000000000000|00000000022288222000000000000|00000000022200222000000000000|00000000000000000000000000000|,474aadeaceb5842a8558258f5468a3c3,evaluation,5
7fe24cdd.json,|250250|251251|311311|250250|251251|311311|,c00d049ac7422a7efd85a122673aded7,training,5
f2829549.json,|303|003|033|000|,421bf86308411f05ae3d3a76aa8e616b,training,5
776ffc46.json,|00000000000050000000|00000000000050022200|00000002220050022200|00000002220050000000|00010000000050000000|00010000000055555555|00111100000000000000|00010000000000000000|00000002200000000000|00200022220000020000|02220022220000222000|00200002200000020000|00000000000000000000|55555550000055555550|00000050000050000050|00220050000050020050|02222050000050222050|02222050000050020050|00220050000050000050|00000050000055555550|,ef9dd09a894625fb106bdb021405733d,training,5
d2abd087.json,|0220002200|0220002200|2222022000|0000000000|0220000100|0222200100|0000000100|0000000100|0111110000|0000000000|,b7fa1603c4e49b123adbc5b801319a9d,training,5
0e671a1a.json,|0000000000000|0000000000000|0555555555400|0500000000500|0500000000500|0200000000500|0000000000500|0000000000500|0000000000500|0000000000500|0000000000500|0000000355500|0000000000000|,4ae17e4b0e641a7ad8694402f7245541,evaluation,5
d4a91cb9.json,|0000000000000|0000000000000|0000000000020|0000000000040|0000000000040|0000000000040|0000000000040|0000000000040|0008444444440|0000000000000|0000000000000|0000000000000|,e3fccc9ebaee69991294cc02c280a971,training,5
1fad071e.json,|11110|,1e6844ecf519e2691c2348ec5ffbb946,training,4
890034e9.json,|000|000|000|,44dfd9605050f159e1f6faaf3f841861,training,4
7c008303.json,|000200|220201|020201|022200|020007|004000|,6726b44016b218020ba9894cded2cd98,training,4
46442a0e.json,|141141|494494|919919|141141|494494|919919|,e6012aa0a5b37f99d2c012b80024dc9d,training,4
8b28cd80.json,|666666666|600000000|606666666|606000000|606066666|606060000|606060666|606060600|606060606|,97deaf8aa04f9426453ccebf6656b30f,evaluation,4
1e0a9b12.json,|02043|50000|00600|52040|50000|,c91d74a1605a071a544441de9c3666f6,training,4
d4469b4b.json,|555|050|050|,99d01b026c86dee0ec4520b1d23504c1,training,4
f8a8fe49.json,|000000000000000|000005550000000|000000555500000|000000000000000|000022222220000|000020000020000|000000555500000|000005550000000|000000000000000|000000555000000|000020000020000|000022222220000|000000000000000|000000555000000|000000000000000|,8a286965170816ae6acd713c41930288,training,4
ccd554ac.json,|0880008800|8888888888|0880008800|8888888888|0880808808|0880008800|8888888888|0880008800|8888888888|0880808808|,d50ffd55e8a6fbbf6dfb31e91dced094,evaluation,4
48f8583b.json,|000979000|000997000|000797000|979000000|997000000|797000000|000979000|000997000|000797000|,df6079b16963eb451b641562dc3d5628,evaluation,4
42918530.json,|0000000000000000000000000|0111110888880333330777770|0100010800080300330707070|0100010888080303030707070|0100010808080330030707070|0111110888880333330777770|0000000000000000000000000|0666660222220111110222220|0606060202020100010200020|0606660222020100010200020|0600060202020100010200020|0666660222220111110222220|0000000000000000000000000|0888880444440333330222220|0800080400040300030200020|0800080400040300030200020|0800080400040300030200020|0888880444440333330222220|0000000000000000000000000|0222220888880222220666660|0200020800080200020600060|0200020800080200020600060|0200020800080200020600060|0222220888880222220666660|0000000000000000000000000|,77a21a40c376164690d8ef367b03eb46,evaluation,4
1acc24af.json,|000000000000|000000000000|011100011100|010110010100|110011110111|000000000000|000000000000|000005000000|050055000020|055050022020|005050022020|000000000000|,bf7df27dd1caf2d0a3b4e59c36e2d4fc,evaluation,4
834ec97d.json,|040404040404|040404040404|040404040404|000003000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|,43a7d316f56f8539435bdd09972f1c73,training,4
50a16a69.json,|686868|868686|686868|868686|686868|868686|,3f94dd7d5cdca7aa76ff0c782d95144a,evaluation,4
6e82a1ae.json,|0000000005|0000000005|0055055005|0550005005|0000000000|0000000000|5000000000|5005500500|5000000500|0000000000|,f7cd8b3c04946d06c398e80585a7dd53,training,4
73ccf9c2.json,|8008|0880|8888|8008|,63de0d08c419a967ba83e0b960ac0c56,evaluation,4
72ca375d.json,|0000000000|0000030030|0990033330|0990000030|9999000000|0000000000|0000000000|0000444440|0000400440|0000000000|,94438f9706bee56d46fde5c87eac65e3,training,4
4852f2fa.json,|880|808|880|,d001862e69c38691f6597c508e1f4739,evaluation,4
929ab4e9.json,|588661369644446963166885|815855666336633666558518|856585969544445969585658|685168635954459536861586|658631434556655434136856|155816464463364464618551|369644858356653858446963|666336555815518555633666|969544855856658558445969|635954388131131883459536|434556522218813222655434|464463622288881222364464|464463622288881222364464|434556522218813222655434|635954322231131222459536|969544822256658558445969|666336555815518555633666|369644858356653858446963|155816464463364464618551|658631434556655434136856|685168635954459536861586|856585969544445969585658|815855666336633666558518|588661369644446963166885|,bffce807646089cda9769290232f3643,evaluation,4
e872b94a.json,|0|0|0|0|,cf0093b68f7b66686ab68799d8e7b282,evaluation,4
63613498.json,|0005000500|2225000550|0025000500|5555030000|0000030000|0000033000|8880000040|8000000040|0000777040|0000007000|,a253aecd4d1117e5f377d6bf77ff5e39,training,4
28bf18c6.json,|00000000|00000000|00000000|00000000|00030030|03333330|03003000|00000000|,4de2ddc33f21c4c94b3d3c906897524b,training,4
b0c4d837.json,|888|008|000|,d7bb013d95927d99980ab316bbed606f,training,4
e48d4e1a.json,|0000080005|0000080005|0000080000|8888888888|0000080000|0000080000|0000080000|0000080000|0000080000|0000080000|,d7555b7b974c852dabf99be2db0fcb81,training,4
e5790162.json,|000000000600|000000600300|000000333380|006000300000|003333380000|003000000000|003000000000|333800000000|000000000000|000000000000|,6a85746ebcaa3077e976141870030088,evaluation,4
e8dc4411.json,|3333333333333333|3333333333333333|3333333333333333|3636333333333333|3363333333333333|3636333333333333|3333030333333333|3333303333333333|3333030333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|3333333333333333|,a33854a6f37adbd63181387e4d0b9583,training,4
fcc82909.json,|0000000000|1100002900|2100001600|3304703300|3308403300|0003300000|0003300000|0003300000|0003300000|0000000000|,132c75dd645b5ce87f054175c766b295,training,4
9bebae7a.json,|000000000000|000000400000|000004440000|000000040000|000000444000|000000440000|000000440000|000000444000|000000040000|000004440000|000000400000|,e8a8bd6da53614db68c2cb639da2cee5,evaluation,4
3af2c5a8.json,|44444444|40000004|40000004|40000004|40000004|44444444|,50af3aff5355e27576087e29a385b0dd,training,4
3345333e.json,|0000000000000000|0000000000000000|0000000000000000|0000000000000000|0000000000000000|0000000500050000|0000888855505000|0000888800005500|0000888855555500|0000888805000000|0000888855555500|0000005505055000|0000000500050000|0000000000000000|0000000000000000|0000000000000000|,80852b1e09e536ddd47aa5a7bdd832ff,training,4
15696249.json,|000000000|000000000|000000000|663663663|443443443|443443443|000000000|000000000|000000000|,444dc617fb49786a265222f48f152b9e,evaluation,4
017c7c7b.json,|111|010|010|111|010|010|,af72fd6cd80f6baa1ecd4cf37660ce74,training,4
67a3c6ac.json,|761|676|622|,3fae03138ac570abf7bc109d4815462e,training,4
1caeab9d.json,|0000000000|0000000000|0000000000|0000000000|0000000000|0110440220|0110440220|1004002000|0000000000|0000000000|,cf103f3cab962df68dc50560df31e8e6,training,4
e179c5f4.json,|01000|10000|01000|00100|00010|00001|00010|00100|01000|10000|,7a20c1ab01391176e5377b1ddb45f6c9,training,4
7fe24cdd.json,|250052|251152|311113|311113|251152|250052|,ab80aeec950ce46f41ddf1fafeb8d933,training,4
f8ff0b80.json,|3|1|6|,dadbb5c36ba570a524f1b59c2fc0d3b9,training,4
80af3007.json,|505050505|050505050|505050505|000505000|000050000|000505000|505000505|050000050|505000505|,b6f5d1a3b2f2bcc3e7fe30022f91a4b3,training,4
9110e3c5.json,|000|888|000|,fd2d15e4450d03a31de47e6ca9c537e7,evaluation,4
0d87d2a6.json,|0000010002220000000000000|0000010002220000000111100|0000010002220000000111100|0000111002220111110111100|1111111111111111111111111|0000111000000111110000000|0000010000000111110000220|0000010000000111110000220|0000010000000000000000220|0000010001100000000000000|0111110001100000000000000|1111111111111111111111111|0111110000000000000000000|0111110000000000000000000|0000010000000000000000000|0000010000000000000000000|0000011111111100000002220|0000011111111100000002220|0000011111111100022002220|0000011111111100022000000|0000011111111100000000000|0000010000000000000000000|0000010000000000000000000|,e4c5801c41dc4e9d3bfaa0e5077240b6,evaluation,4
f9012d9b.json,|8|,1742b88dbde5b3f3bcfbc7b8482d77ed,training,4
2dee498d.json,|020440204402044|220442204422044|022200222002220|110221102211022|110201102011020|,2d7700a56e0931842fc8cf6df22523ef,training,4
b230c067.json,|0000000000|0110001110|0010000010|0100000100|0111001111|0000000000|0001110000|0000010000|0000100000|0001111000|,8ea92e124e8889bf5521f46b002d74e0,training,4
57aa92db.json,|000000000011111100000000000000|000000000011111100000000000000|000088000011111100000000000000|000818011144411100000222222220|000880011144411100000222222220|000000011144411100000222222220|000000011111100000000222222220|000000011111100002222111122220|000000011111100002222111122220|000000000000000002222111122220|000000111100000002222111122220|000000111100000002222222200000|000011331100000002222222200000|000011331100000002222222200000|000011110000000002222222200000|000011110000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|,eb12a8936e406b407fed9bc80f432765,training,4
44d8ac46.json,|000000000000|555550055550|522250055050|522250050050|522250050050|555550055550|000000000000|000000000000|005555550000|005222250000|005222250000|005555550000|,15093f7be4a2ed10eb83249f8ab0c878,training,4
321b1fc6.json,|0000000000|0440004400|3433034330|0030000300|0000000000|0440000000|3433004400|0030034330|0000000300|0000000000|,36b5003d6e2e291120e445db2003873f,training,4
e57337a4.json,|066|666|660|,c4e31c8822bd5ea56a61ebf5ad1221ee,evaluation,4
d2abd087.json,|0220002200|0220002200|2222022000|0000000000|0110000100|0111100100|0000000100|0000000100|0111110000|0000000000|,b760745fc4d42e3caddf65755fb90855,training,4
99b1bc43.json,|1011|0111|0010|1011|,c88224aa576407eaf37d0a0e075f7d2e,training,4
d2abd087.json,|0220001100|0220001100|2222011000|0000000000|0110000200|0111100200|0000000200|0000000200|0111110000|0000000000|,20e8a0df5a9644dca8d0ec82187f38fc,training,4
fcc82909.json,|0000000000|1100002900|2100001600|3304703300|3308403300|0003300000|0003300000|0003300000|0000000000|0000000000|,cd5598243a44ab06e4127f29a0b88498,training,4
bbb1b8b6.json,|110050033|100150330|000153330|011153000|,317a5b7646e94770f476c8081c98028d,evaluation,4
bb52a14b.json,|0080008000001001000080|0001001881000088000100|0080088000181008000100|0880800000000000000000|0010001000100000000000|0008000000018011000000|0000000000000010100000|0000100000000010000800|0100484000000080000008|8000488080000080010810|0000414000000000080000|0800011001010000000108|0000001000000000000100|0100000000000000000800|0088800081000000000000|0000000000000800010000|1880000000000880000080|0800810000000100000088|0000000000008000000010|0088000000000100108100|0000000000100001000000|0000000008010808101000|,d94b0dcfe49e35c4167fb30a26fb0471,evaluation,4
045e512c.json,|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000040000000000|000000000040000000000|000000000000000000000|000000888020000000000|000000808020000000000|000000808020000000000|000000000000000000000|000000333000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|,55372d5ca2d5ed6502129e703941c907,training,4
44d8ac46.json,|000000000000|555550055550|522250055250|522250052250|522250052250|555550055550|000000000000|000000000000|005555550000|005222250000|005222250000|005555550000|,1e2e7ef756574e0981f189f7455c637d,training,4
7df24a62.json,|00000000011111000000000|00000400014111000000000|00000000011111000000000|00000040014141000000000|00040000011111000000000|00000000000000400000000|00000000000000000000000|00000000000000000000000|00000000004000000000000|00000400000000000004000|00000000400004000000000|00040400000000000040000|00000000000040000000000|00000000000000000000000|00000000000000000000000|00000000000000000000000|40000004000000000040000|00000000000000000000000|00000000000000000004000|00000000000000000000000|00000040400000000000000|00000000000000000000040|04000040000000000000000|,26ecfb376be4077b4753d6bce84441e2,training,4
a3325580.json,|0000000010|0050000111|0550000000|0050000000|0000000000|0000099000|8000000000|8002200000|8002000000|0002000000|,50d777e6b7cb0571f309f4d9c778b77f,training,3
794b24be.json,|010|000|010|,6cda5d5d548eea1c1ebec7539a700ab1,training,3
d19f7514.json,|4404|0404|0004|4404|4044|0444|,e722ada8ec777704d17f0f098cdea4b8,evaluation,3
2bee17df.json,|88888888888888|88883088803822|88803000003002|80003000003002|88803000003022|88003000003222|83333333333332|88003000003002|88003000003002|88003000003002|83333333333332|88003000003022|88023220003222|82222222222222|,43f54bb405666889e3f47067940b0d3b,training,3
ccd554ac.json,|08800|88888|08800|88888|08808|,49a19cc3a2cfac9f5480c29a9b3e8c2d,evaluation,3
7b7f7511.json,|545|454|664|262|545|454|,57160d2bc08e696975ee17c72ec380d2,training,3
00d62c1b.json,|00000000000000000000|00300000000000000000|03033000000000000000|00303333303300000000|00003000030030000000|00003333303330000000|00000000000003333300|00000000000003000300|00000000000003000300|00000000033333000300|00000000030003000300|00000000333333000300|00000033030003333300|00300000330000000000|03030000000000000000|00303033333300000000|00000003000300000000|00000003000300000000|00000003333300000000|00000000000000000000|,605bb94a55a0b5113bd856a8c9c6b1f2,training,3
73c3b0d8.json,|00004000|40000000|00000000|22222222|00000000|00000000|04000000|00000000|00000000|00000000|00000000|00000000|,dd63cdff81030b0001c82042f00ad7c8,evaluation,3
bd14c3bf.json,|1111100000000000000|1010100011100002020|1111100010100002020|0000000011100002220|0000000000000002020|0222200000000000000|0000200000000000000|0000200111002222000|0222200101000002000|0000000111002222000|0000000101000000000|0000000111000000000|0000000000000000000|0000000011101111100|0111110010101000100|0101010010101111100|0101010011101000100|0111110000001111100|0000000000000000000|,778eb719151d2735414d936243042afd,evaluation,3
f5b8619d.json,|000|000|000|,44dfd9605050f159e1f6faaf3f841861,training,3
99b1bc43.json,|1011|0111|0010|1011|4444|2202|0020|2002|0202|,6c78518b6bbec3f599921d14fdf0161d,training,3
e509e548.json,|0606000000007000|0606000000007000|0666000000007770|0000000000007070|0000007700000070|0000007000000000|0007777700666000|0000000000006000|0000000006666000|0000000000000000|0000000000010000|0111111000010000|0000001000011100|0000001000000000|,ae1604eb9ca820ad57eb600ea170c01d,training,3
f15e1fac.json,|00000000000000000|00000000000000000|00000000000000008|00000000000000000|00000000000000000|00066666666660008|00000000000000000|00000000000000000|00000000000000008|00000000000000000|00000000000000008|00200020000200000|,0b5ab44557840c40d32a8f59d5e88bd5,training,3
9b2a60aa.json,|000000000000000000000000|000000000300400080080200|000000000000000000000000|000000000000000000000000|000000000000000000000000|000000000000000000000000|000000000000000000000200|000000000000000000002220|000000000000000000002200|000000000000000000000000|000000000000000000000000|000000000000000000000000|000000000000000000000000|,a85e08c12b527f55fd3d60443d9d5b06,evaluation,3
8403a5d5.json,|0015101000|0010101000|0010101000|0010101000|0010101000|0010101000|0010101000|0010101000|0010101000|0010151000|,132349bdd2d2cbae323fb6071ec76cdd,training,3
d364b489.json,|7160000071|0800000208|0002007160|0071600800|0008000000|6000000200|1200007160|7000000800|0000200000|0007160000|,1a0e1402a6e31e3ef1bb5e0a8898cbc7,training,3
8e1813be.json,|000|000|000|,44dfd9605050f159e1f6faaf3f841861,training,3
a5f85a15.json,|00006000000000|60000600000000|06000060000000|00600006000000|00060000600000|00006000060000|00000600006000|00000060000600|00000006000060|00000000600006|60000000060000|06000000006000|00600000000600|00060000000060|,f61432c31b9e322fcd5d801b7c38d03d,training,3
9ecd008a.json,|4899665115669984|8699671551769968|9952515555152599|9922155995512299|6651145225411566|6715442772445176|5155529559255515|1559275995729551|1559275995729551|5155529559255515|6715442772445176|6651145225411566|9922155995512299|9952515555152599|8699671551769968|4899665115669984|,02fda39f1b5931cbe0d1107b99cee84d,training,3
eb281b96.json,|00300030003000300|03030303030303030|03030303030303030|03030303030303030|30003000300030003|03030303030303030|03030303030303030|00300030003000300|03030303030303030|03030303030303030|30003000300030003|03030303030303030|03030303030303030|00300030003000300|,d87cbe6e1d6183e38fe90d066be66c96,training,3
