Task.json,Ground Truth,Human Inaccurate,Induction Accurate,Induction Inaccurate,Human Performance,Potpourri,Potpourri TTF,Potpourri Reranking,"Potpourri TTF Reranking ",Heavy,Heavy TTF
1e81d6f9,"change color,find pattern/shape/object,surround/border/boundary,corner,left/right/top/bottom/above/below,random,divider,square","repeat/copy,change color,find pattern/shape/object,surround/border/boundary,corner,left/right/top/bottom/above/below,random,divider,square","align, corner, vertical & horizontal, in/out/contain, random, rectangle","surround/border/boundary, count, fill with color/pattern, in/out/contain, line, move, object area, polygon, vertical & horizontal, zigzag",45,0,1,0,1,0,1
1d0a4b61,"complete,symmetry,obstruct,motif","complete,crop/compact/summarize,motif,obstruct","complete, obstruct, symmetry",,45,1,1,1,1,1,1
ff72ca3e,"extend/continue/propagate,edge,surround/border/boundary,concentric,rectangle,noise,obstruct",,"concentric, extend/continue/propagate, edge, overlap, square",,46,0,0,0,1,0,0
22a4bbc2,"change color,count,vertical & horizontal,rectangle,line",repeat/copy,"middle/center, change color, symmetry, vertical & horizontal","alternate, change color, count, find pattern/shape/object, invert, logical operation, overlap, repeat/copy, divider, square, vertical & horizontal",55,0,1,0,1,0,1
2685904e,"find pattern/shape/object,count,change color,vertical & horizontal,corner,left/right/top/bottom/above/below,random,divider","count,change color,vertical & horizontal,corner,left/right/top/bottom/above/below,random,divider,find pattern/shape/object",,"alternate, gradient, count, gradient, half, left/right/top/bottom/above/below, obstruct, scale size, symmetry, touch, vertical & horizontal, wave",56,0,0,0,0,0,0
5207a7b5,"extend/continue/propagate,count,compare size,surround/border/boundary,left/right/top/bottom/above/below,line,stair/step","extend/continue/propagate,count,compare size,surround/border/boundary,left/right/top/bottom/above/below,line,stair/step",,"alternate,surround/border/boundary, connected, corner, diagonal, extend/continue/propagate, fill with color/pattern, left/right/top/bottom/above/below, object area, triangle, vertical & horizontal, zigzag",56,1,1,1,1,1,1
4e45f183,"move,left/right/top/bottom/above/below,divider,square",,,"corner, divider, fill with color/pattern, middle/center, overlap, random, rectangle, square, symmetry",58,0,0,0,0,0,0
4acc7107,"move,align,bounding box,vertical & horizontal,corner,left/right/top/bottom/above/below",,,"align, repeat/copy, move, symmetry, vertical & horizontal",58,0,0,0,0,0,0
626c0bcc,"change color,find pattern/shape/object,stair/step,square,L-shape",,,"L-shape, star/flower/plus/T-shape, middle/center, change color, fill with color/pattern, gradient, left/right/top/bottom/above/below, rectangle, square",67,0,0,0,1,0,0
69889d6e,"extend/continue/propagate,path,obstruct,edge,diagonal,zigzag","extend/continue/propagate,path,edge,diagonal,zigzag,change color",,"corner, diagonal, left/right/top/bottom/above/below, line, middle/center, obstruct, find pattern/shape/object, symmetry, triangle, zigzag",67,0,1,1,1,1,1
712bf12e,"extend/continue/propagate,obstruct,left/right/top/bottom/above/below,random,obstruct","extend/continue/propagate,obstruct,random,left/right/top/bottom/above/below","extend/continue/propagate, left/right/top/bottom/above/below, obstruct, random, touch","diagonal, edge, extend/continue/propagate, left/right/top/bottom/above/below, line, middle/center, obstruct, random, straight, superlative: size, vertical & horizontal",69,0,0,0,0,0,0
642248e4,"change color,extend/continue/propagate,vertical & horizontal,gap/distance,obstruct,left/right/top/bottom/above/below,random,line,obstruct",repeat/copy,"align, change color, gap/distance, edge, equidistant, vertical & horizontal, line, random, superlative: position (e.g. topmostor nearest), symmetry, touch, vertical & horizontal","connected, left/right/top/bottom/above/below, perpendicular, random, symmetry, vertical & horizontal",69,0,0,0,0,0,0
62b74c02,"extend/continue/propagate,fill with color/pattern,symmetry,vertical & horizontal,motif",,,"bounding box, change color, connected, repeat/copy, extend/continue/propagate, fill with color/pattern, gap/distance, half, left/right/top/bottom/above/below, symmetry, vertical & horizontal",69,1,1,1,1,1,1
7bb29440,"find pattern/shape/object,superlative: repetition,in/out/contain,rectangle,noise",,,"adjacent, align, middle/center, circle, in/out/contain, diagonal, fill with color/pattern, gap/distance, overlap, overlay, superlative: size, surround/border/boundary",71,1,1,1,1,1,1
762cd429,"extend/continue/propagate,repeat/copy,scale size,vertical & horizontal,square",,,"extend/continue/propagate, gap/distance, overlay, repeat/copy, scale size, superlative: size",73,1,1,1,1,1,1
782b5218,"fill with color/pattern,denoise,crop/compact/summarize,left/right/top/bottom/above/below,divider,random",,"corner, left/right/top/bottom/above/below, path, superlative: position (e.g. topmostor nearest)","surround/border/boundary, diagonal, divider, fill with color/pattern, in/out/contain, left/right/top/bottom/above/below, line, move, random, separate, touch, vertical & horizontal",75,1,1,1,1,0,1
770cc55f,"extend/continue/propagate,vertical & horizontal,parallel,middle/center,obstruct,align,left/right/top/bottom/above/below,rectangle,line",,,"divider, fill with color/pattern, gap/distance, left/right/top/bottom/above/below, line, rectangle, vertical & horizontal",75,1,1,1,1,1,1
73182012,"symmetry,crop/compact/summarize,corner,left/right/top/bottom/above/below,random","crop/compact/summarize,symmetry,corner,left/right/top/bottom/above/below,random","align, middle/center, circle, connected, crop/compact/summarize, diagonal, left/right/top/bottom/above/below, random, scale size, surround/border/boundary, symmetry","circle, corner, left/right/top/bottom/above/below, surround/border/boundary",79,1,1,1,1,1,1
7c9b52a0,"overlay,complete,logical operation,crop/compact/summarize,in/out/contain,rectangle",,"align, bounding box, middle/center, crop/compact/summarize, in/out/contain, overlap, overlay, rectangle, scale size, superlative: size, surround/border/boundary, unique: color",,81,1,1,1,1,0,0
7d18a6fb,"change color,find pattern/shape/object,move,crop/compact/summarize,color match,align,divider,left/right/top/bottom/above/below,rectangle,square,divider",,"align, surround/border/boundary, middle/center, change color, gap/distance, move, overlap, overlay, rectangle, separate, object area, square","change color, in/out/contain, left/right/top/bottom/above/below, surround/border/boundary",85,0,1,0,1,0,1
8a371977,"change color,fill with color/pattern,edge,middle/center,surround/border/boundary,divider,square",,,"alternate, change color, count, divider, even/odd, fill with color/pattern, rectangle, separate, superlative: size, vertical & horizontal",86,1,1,1,1,1,1
8dae5dfc,"change color,invert,concentric,rectangle,square",,,"change color, concentric, in/out/contain, fill with color/pattern, square, symmetry",86,0,1,0,1,0,0
845d6e51,"change color,find pattern/shape/object,divider,left/right/top/bottom/above/below,divider,star/flower/plus/T-shape,stair/step,L-shape,star/flower/plus/T-shape",,,"change color, circle, divider, fill with color/pattern, gap/distance, left/right/top/bottom/above/below, line, middle/center, separate, surround/border/boundary, vertical & horizontal",89,0,0,0,0,0,0
2546ccf6,"complete,find pattern/shape/object,symmetry,divider,divider,random,square",,,"middle/center, change color, divider, extend/continue/propagate, overlay, random, rectangle, superlative: repetition, symmetry, touch, vertical & horizontal",91,0,0,0,0,0,0
ea959feb,"complete,obstruct,symmetry,motif,obstruct",,"extend/continue/propagate, fill with color/pattern, obstruct, random, symmetry",,92,1,1,1,1,1,1
67636eac,"align,move,vertical & horizontal,align",,,"align, circle, crop/compact/summarize, polygon, equidistant, gap/distance, polygon, left/right/top/bottom/above/below, overlap, random, square, star/flower/plus/T-shape, superlative: position (e.g. topmostor nearest), surround/border/boundary, symmetry, triangle, vertical & horizontal",92,1,1,1,1,0,1
f45f5ca7,"move,align,vertical & horizontal,left/right/top/bottom/above/below,random,find pattern/shape/object","move,left/right/top/bottom/above/below,random,align,vertical & horizontal","vertical & horizontal, left/right/top/bottom/above/below, line, move","surround/border/boundary, edge, extend/continue/propagate, gap/distance, left/right/top/bottom/above/below, line, move, overlay, random, sort, superlative: position (e.g. topmostor nearest), symmetry, vertical & horizontal",93,1,1,1,1,1,1
1990f7a8,"move,align,align,divider",,,"align, middle/center, crop/compact/summarize, corner, diagonal, left/right/top/bottom/above/below, line, overlap, random, superlative: size, symmetry, unique: color, vertical & horizontal",94,1,1,0,1,0,1
